                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2227,                 1.8651,                0.84552,                0.43232,                0.31095,                0.27566,                 0.1447,                 1.4975,                 1.5968,                0.85315,                0.00015,                0.00015,                0.00015
                      2,                 1.0843,                0.86504,                0.81538,                0.58167,                0.42718,                0.38581,                0.23954,                 0.9914,                 1.1653,                0.80741,             0.00030941,             0.00030941,             0.00030941
                      3,                  1.174,                0.80455,                0.80721,                0.45632,                0.37434,                0.19405,                0.11528,                 1.0854,                  8.337,                0.81176,              0.0004656,              0.0004656,              0.0004656
                      4,                 1.1952,                0.75968,                0.81173,                0.58585,                0.42943,                 0.3537,                0.21801,                 1.1488,                 1.5607,                0.82158,             0.00061857,             0.00061857,             0.00061857
                      5,                 1.2513,                0.76997,                0.81529,                0.78989,                0.54225,                0.59227,                 0.3612,                 1.0568,                 1.1279,                0.81222,             0.00076832,             0.00076832,             0.00076832
                      6,                 1.3265,                0.76201,                 0.8233,                0.29296,                0.59872,                0.15942,                0.09183,                 1.1528,                 48.563,                0.82018,             0.00091486,             0.00091486,             0.00091486
                      7,                 1.2004,                0.70809,                 0.8173,                0.59136,                0.57524,                0.52063,                  0.327,                  1.059,                 1.2307,                0.80933,              0.0010582,              0.0010582,              0.0010582
                      8,                 1.1373,                0.67994,                0.81448,                0.69741,                0.62526,                0.63866,                0.35139,                 1.2229,                0.91303,                0.82334,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2337,                 0.7787,                0.81809,                0.58534,                 0.5773,                0.56323,                0.33379,                 1.2225,                 1.0382,                0.84061,               0.001151,               0.001151,               0.001151
                     10,                 1.3174,                0.87069,                0.83086,                0.70222,                0.64918,                0.66459,                0.42394,                 1.1183,                0.95413,                0.81441,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1793,                0.75921,                0.81921,                 0.8067,                0.55402,                0.63954,                0.38998,                 1.1833,                0.81485,                0.81298,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1345,                0.63575,                0.81426,                0.71729,                0.61812,                0.65668,                0.44035,                 1.0028,                0.79636,                0.80836,              0.0011139,              0.0011139,              0.0011139
